article_number,Current_Turn,Previous_Turns,Type_of_Thought/Belief
1,"A: I can see myself getting restless, I must be incompetent at handling stress.",A: Work has been really busy lately. B: Have you tried using any stress-management techniques?,Automatic Thought
2,"A: I feel like if I don't get this promotion, it means I'm not smart enough to advance in my career.","A: I've been working so hard, but promotions always seem to pass me by. B: Do you believe your work is not being recognized?",Intermediate Belief
3,"A: If I don't get everything perfect, they will think I am incompetent.","A: Tomorrow is my presentation and I am really stressed about it. B: Just do your best, that's what matters.",Automatic Thought
4,"A: I always end up alone in social events, I guess I’m just not likable.",A: I dread going to parties... B: Have you had bad experiences at other events?,Intermediate Belief
5,"A: If I don't perform perfectly on every project, my bosses will think I'm incompetent.","A: Work has been so stressful lately... B: You're generally doing a great job though, aren't you?",Intermediate Belief
6,"A: Deep down, I feel like I'm just not cut out for this job.","A: I botched the presentation today and everyone noticed... B: You've had successful presentations in the past though, haven't you?",Core Belief
7,"A: If I don't lose weight, my partner might leave me.","A: I can't stand how I look right now... B: But you're eating healthy and working out, aren't you?",Intermediate Belief
8,"A: I find it really hard to speak up during meetings, because I'm afraid my ideas are not that interesting.",A: Work has been stressful lately... B: Is it because of the new project?,Intermediate Belief
9,"A: Whenever someone doesn't respond to my texts quickly, I feel like they're ignoring me on purpose.",A: I'm always stressed out when I send messages to people. B: How come that happens to you?,Intermediate Belief
10,"A: I guess it's my fault, I'm just not smart enough to figure these things out.","A: This problem is just too hard. I've tried several approaches, but none seem to work. B: Or maybe it's just a really tough problem and not about you?",Core Belief
11,"A: Every time something goes wrong, I just feel like it's inevitably my fault.",A: I'm always worried about making mistakes at work... B: Have you talked to your boss about these concerns?,Automatic Thought
12,"A: No one truly understands me, I've always been alone.",A: I've been feeling really isolated lately... B: Do you feel this way often?,Core Belief
13,"A: If I don't get this job, it's a sign I'm not cut out for this career.","A: I've been on so many interviews lately. B: Keep trying, it's a numbers game sometimes.",Intermediate Belief
14,A: I just believe that I'm fundamentally unlovable and that's why I'm alone.,"A: I'm always the single one at family events. B: That sounds tough, how does that make you feel?",Core Belief
15,"A: Every time I speak up, I just sound stupid.",A: I hate going to team meetings... B: But you always bring up useful points!,Automatic Thought
16,"A: I need to find a partner, otherwise, I'll be miserable and alone forever.",A: Why do I feel so pressured to go on dates? B: Could you be worried about being single?,Core Belief
17,"A: If I can't manage to solve this now, it means I'm utterly incompetent.",A: I'm struggling to get this task done... B: Have you tried organizing your priorities differently?,Intermediate Belief
18,"A: Everyone else seems to be able to cope with stress, but I just crumble.",A: I'm just so overwhelmed with everything at the moment. B: Do you feel like you've been under more stress than others?,Core Belief
19,"A: Every time my phone rings, I feel it's something bad.",A: I get so nervous when I'm waiting for a call. B: Do you always think it’ll be bad news?,Automatic Thought
